Date;Open;High;Low;Close;Adj Close;Volume
2019-10-14;3,39E+15;3,41E+16;3,37E+15;3,40E+16;3,40E+16;23280000
2019-10-15;3,40E+16;3,42E+16;3,38E+15;3,39E+15;3,39E+15;36045000
2019-10-16;3,40E+16;3,41E+16;3,34E+16;3,40E+16;3,40E+16;26290000
2019-10-17;3,40E+16;3,47E+16;3,40E+16;3,45E+16;3,45E+16;60980000
2019-10-18;3,46E+16;35;3,41E+16;3,42E+16;3,42E+16;47590000
2019-10-21;3,45E+15;3,45E+15;3,41E+16;3,42E+16;3,42E+16;36600000
2019-10-22;3,43E+16;3,52E+16;3,40E+16;3,52E+16;3,52E+16;122140000
2019-10-23;3,52E+16;3,59E+16;3,48E+16;3,51E+14;3,51E+14;66055000
2019-10-24;3,51E+14;3,56E+15;3,44E+15;3,56E+15;3,56E+15;50915000
2019-10-25;3,58E+15;3,66E+16;3,57E+15;3,58E+16;3,58E+16;64660000
2019-10-28;3,57E+16;3,69E+15;3,57E+16;3,63E+15;3,63E+15;62395000
2019-10-29;3,66E+16;3,68E+15;3,58E+16;3,68E+16;3,68E+16;51625000
2019-10-30;3,67E+15;3,78E+16;3,64E+15;3,70E+15;3,70E+15;61105000
2019-10-31;3,70E+15;375;3,58E+16;3,70E+15;3,70E+15;45495000
2019-11-01;3,60E+16;3,79E+16;3,56E+15;3,76E+16;3,76E+16;100345000
2019-11-04;3,79E+16;3,91E+16;3,78E+16;3,87E+15;3,87E+15;81345000
2019-11-05;3,87E+15;3,96E+16;3,78E+16;3,81E+15;3,81E+15;53860000
2019-11-06;3,81E+15;3,89E+15;3,70E+16;3,83E+16;3,83E+16;67480000
2019-11-07;3,84E+16;3,99E+15;3,82E+15;3,95E+15;3,95E+15;67730000
2019-11-08;3,92E+16;3,96E+16;3,86E+16;3,96E+16;3,96E+16;57265000
2019-11-11;3,95E+15;3,99E+16;3,89E+15;3,91E+16;3,91E+16;46010000
2019-11-12;3,92E+16;3,96E+16;3,84E+16;3,87E+15;3,87E+15;52245000
2019-11-13;3,86E+15;3,91E+16;3,80E+15;3,86E+16;3,86E+16;42690000
2019-11-14;3,86E+15;3,95E+15;3,86E+16;3,89E+16;3,89E+16;43675000
2019-11-18;3,92E+16;40;3,81E+15;3,88E+15;3,88E+15;66285000
2019-11-19;3,87E+15;3,90E+16;3,83E+15;3,85E+16;3,85E+16;48885000
2019-11-21;3,86E+15;3,96E+16;3,82E+15;3,95E+15;3,95E+15;57340000
2019-11-22;3,94E+15;4,14E+15;3,93E+16;4,12E+15;4,12E+15;97230000
2019-11-25;4,12E+15;4,20E+15;4,07E+15;4,08E+15;4,08E+15;52915000
2019-11-26;4,08E+15;4,29E+15;4,06E+15;4,26E+14;4,26E+14;76030000
2019-11-27;4,24E+14;4,32E+15;4,15E+16;4,23E+15;4,23E+15;47085000
2019-11-28;4,20E+15;4,40E+15;4,20E+15;4,40E+15;4,40E+15;45945000
2019-11-29;4,60E+15;4,78E+14;4,51E+14;4,65E+16;4,65E+16;145190000
2019-12-02;4,70E+15;4,79E+15;4,58E+15;4,62E+15;4,62E+15;98365000
2019-12-03;4,63E+15;4,75E+15;4,54E+15;4,70E+15;4,70E+15;89115000
2019-12-04;4,71E+15;5,11E+15;4,71E+15;5,10E+16;5,10E+16;166265000
2019-12-05;5,10E+16;5,24E+15;4,96E+15;4,99E+15;4,99E+15;97980000
2019-12-06;5,01E+15;5,37E+15;5,00E+15;5,32E+15;5,32E+15;109280000
2019-12-09;5,32E+15;5,39E+15;5,21E+15;5,36E+15;5,36E+15;58655000
2019-12-10;5,38E+15;5,42E+15;5,28E+16;5,40E+16;5,40E+16;61905000
2019-12-11;5,40E+15;5,68E+15;5,37E+15;5,48E+15;5,48E+15;95950000
2019-12-12;5,48E+15;5,66E+15;5,48E+15;5,60E+15;5,60E+15;76010000
2019-12-13;5,70E+15;5,97E+14;5,63E+15;5,87E+15;5,87E+15;108820000
2019-12-16;60;6,19E+15;5,89E+15;5,89E+15;5,89E+15;122255000
2019-12-17;5,90E+15;6,02E+14;5,65E+15;5,98E+15;5,98E+15;123785000
2019-12-18;6,03E+15;6,06E+15;5,90E+16;5,92E+15;5,92E+15;77185000
2019-12-19;5,93E+15;6,08E+15;5,93E+15;60;60;66300000
2019-12-20;6,01E+15;6,23E+15;6,00E+15;6,18E+15;6,18E+15;68270000
2019-12-23;6,23E+15;6,73E+15;6,20E+15;6,66E+15;6,66E+15;171675000
2019-12-26;6,74E+14;6,96E+15;6,63E+15;6,87E+15;6,87E+15;104465000
2019-12-27;6,97E+14;7,08E+15;6,75E+15;6,78E+14;6,78E+14;103235000
2019-12-30;6,78E+14;6,83E+15;6,57E+15;6,61E+15;6,61E+15;89335000
2020-01-02;6,74E+15;7,18E+15;6,66E+16;7,16E+15;7,16E+15;93175000
2020-01-03;7,40E+15;7,72E+14;7,18E+15;7,57E+15;7,57E+15;170310000
2020-01-06;7,73E+15;7,95E+15;7,45E+15;7,72E+16;7,72E+16;254120000
2020-01-07;7,76E+15;7,87E+15;7,55E+15;7,73E+15;7,73E+15;115395000
2020-01-08;7,74E+15;7,83E+15;7,57E+15;7,57E+15;7,57E+15;98435000
2020-01-09;7,68E+15;7,68E+15;7,20E+15;7,28E+14;7,28E+14;149335000
2020-01-10;7,26E+15;7,59E+15;7,08E+15;7,44E+15;7,44E+15;136720000
2020-01-13;7,44E+15;7,83E+15;7,36E+15;7,76E+15;7,76E+15;127505000
2020-01-14;7,84E+16;8,22E+15;7,78E+14;8,22E+15;8,22E+15;144160000
2020-01-15;8,30E+15;85;8,12E+15;8,26E+15;8,26E+15;140570000
2020-01-16;8,29E+15;8,52E+15;8,23E+15;8,28E+15;8,28E+15;149335000
2020-01-17;8,34E+14;8,40E+15;7,98E+15;8,20E+14;8,20E+14;152195000
2020-01-20;8,30E+15;8,61E+15;8,14E+15;8,61E+15;8,61E+15;92150000
